"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z"
0.5028342,0.6532617,1.01169
0.4874802,0.652498,0.9938127
0.4783765,0.6525886,0.9733771
0.4736422,0.6500732,0.9514624
0.4734993,0.6473335,0.9377859
0.4452615,0.6425493,0.8840325
0.381019,0.6381022,0.760367
0.31699,0.6331023,0.6253276
0.2547354,0.6277199,0.4863473
0.1970359,0.6221776,0.346361
0.144194,0.6234949,0.2088318
0.08853161,0.6113251,0.06199491
0.08853161,0.6113251,0.06199491
0.03494358,0.6052614,-0.03347385
-0.00007975101,0.6058029,-0.01999182
-0.001799345,0.6063588,-0.01055527
-0.001799345,0.6063588,-0.01055527
-0.003880382,0.6093897,-0.01066566
-0.08730328,0.6032058,-0.03373426
-0.101199,0.5999179,-0.0749293
-0.09926069,0.5999824,-0.1054097
-0.1050835,0.5999335,-0.1227059
-0.1191437,0.599532,-0.1162868
-0.1273487,0.600466,-0.09767848
-0.1270128,0.6007835,-0.07817882
