"robot_vr.position.x","robot_vr.position.y","robot_vr.position.z","robot_vr.direction.x","robot_vr.direction.y","robot_vr.direction.z"
0.0001496077,0.6093955,0.0006241798,3.376166,269.4061,0.3722537
0.001792073,0.6094137,-0.02777004,3.785154,244.1156,359.4268
0.004012465,0.6073614,-0.0509209,4.054556,223.0399,358.577
-0.01007926,0.608162,-0.0349862,4.091143,244.6537,359.5797
-0.0154599,0.6082776,-0.0128755,3.671815,260.3768,0.08906433
-0.01049566,0.6094979,0.002419472,3.26972,274.7185,0.3673031
-0.01300108,0.6080818,-0.02415806,3.605933,247.8786,359.2863
-0.01081169,0.6074896,-0.04737771,4.170759,225.3698,358.8341
-0.02456892,0.6076896,-0.0339151,3.796366,243.389,359.3634
-0.02944529,0.6075677,-0.01455283,3.830691,256.6348,359.9491
-0.02654231,0.6083357,-0.0002844334,3.578949,268.8444,0.9612929
